,full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,years
57,Danilo Gallinari,83,#8,Oklahoma City Thunder,F,08/08/88,2.08,102.1,$22615559,Italy,2008,1,6,,32
58,Montrezl Harrell,83,#5,Los Angeles Clippers,F,01/26/94,2.01,114.8,$6000000,USA,2015,2,32,Louisville,26
59,Kevin Love,83,#0,Cleveland Cavaliers,F,09/07/88,2.03,117.9,$28942830,USA,2008,1,5,UCLA,32
60,Lauri Markkanen,83,#24,Chicago Bulls,F-C,05/22/97,2.13,108.9,$5300400,Finland,2017,1,7,Arizona,23
61,Jusuf Nurkic,83,#27,Portland Trail Blazers,C,08/23/94,2.13,131.5,$12000000,Bosnia and Herzegovina,2014,1,16,,26
62,Julius Randle,83,#30,New York Knicks,F,11/29/94,2.03,113.4,$18000000,USA,2014,1,7,Kentucky,26
63,Marc Gasol,82,#33,Toronto Raptors,C,01/29/85,2.11,120.2,$25595700,Spain,2007,2,48,,35
64,Steven Adams,82,#12,Oklahoma City Thunder,C,07/20/93,2.11,115.7,$25842697,New Zealand,2013,1,12,Pittsburgh,27
65,Deandre Ayton,82,#22,Phoenix Suns,C,07/23/98,2.11,113.4,$9562920,The Bahamas,2018,1,1,Arizona,22
66,Spencer Dinwiddie,82,#8,Brooklyn Nets,G,04/06/93,1.96,93.0,$10605600,USA,2014,2,38,Colorado,27
67,Jaren Jackson,82,#13,Memphis Grizzlies,F-C,09/15/99,2.11,110.0,$6699960,USA,2018,1,4,Michigan State,21
68,Paul Millsap,82,#4,Denver Nuggets,F-C,02/10/85,2.01,113.4,$30350000,USA,2017,2,47,Louisiana Tech,35
69,Marcus Smart,82,#36,Boston Celtics,G,03/06/94,1.91,103.0,$12553571,USA,2014,1,6,Oklahoma State,26
70,Myles Turner,82,#33,Indiana Pacers,F-C,03/24/96,2.11,108.4,$18000000,USA,2015,1,11,Texas,24
71,Serge Ibaka,81,#9,Toronto Raptors,F,09/18/89,2.13,108.9,$23271604,Spain,2008,1,24,,31
72,Zion Williamson,81,#1,New Orleans Pelicans,F,07/06/00,1.98,128.8,$9757440,USA,2019,1,1,Duke,20
73,Rudy Gay,81,#22,San Antonio Spurs,F,08/17/86,2.03,104.3,$14500000,USA,2006,1,8,UConn,34
74,Aaron Gordon,81,#0,Orlando Magic,F,09/16/95,2.03,99.8,$19863636,USA,2014,1,4,Arizona,25
75,Brandon Ingram,81,#14,New Orleans Pelicans,F,09/02/97,2.01,88.9,$7265485,USA,2016,1,2,Duke,23
76,DeAndre Jordan,81,#6,Brooklyn Nets,C,07/21/88,2.11,120.2,$9881598,USA,2008,2,35,Texas A&M,32
77,Domantas Sabonis,81,#11,Indiana Pacers,F-C,05/03/96,2.11,104.8,$3529554,Lithuania,2016,1,11,Gonzaga,24
78,Jonas Valanciunas,81,#17,Memphis Grizzlies,C,05/06/92,2.11,104.8,$16000000,Lithuania,2011,1,5,,28
79,Hassan Whiteside,81,#21,Portland Trail Blazers,C,06/13/89,2.13,106.6,$27093018,USA,2010,2,33,Marshall,31
80,Derrick Rose,80,#25,Detroit Pistons,G,10/04/88,1.88,86.2,$7317074,USA,2008,1,1,Memphis,32
81,Robert Covington,80,#33,Houston Rockets,F,12/14/90,2.01,94.8,$11301219,USA,2013,Undrafted,Undrafted,Tennessee State,30
82,Derrick Favors,80,#22,New Orleans Pelicans,F,07/15/91,2.06,111.6,$17650000,USA,2010,1,3,Georgia Tech,29
83,Gordon Hayward,80,#20,Boston Celtics,F,03/23/90,2.01,93.9,$32700690,USA,2010,1,9,Butler,30
84,Reggie Jackson,80,#0,Los Angeles Clippers,G,04/16/90,1.91,94.3,$17799677,USA,2011,1,24,Boston College,30
85,Enes Kanter,80,#11,Boston Celtics,C,05/20/92,2.08,118.8,$4767000,Turkey,2011,1,3,,28
86,Otto Porter,80,#22,Chicago Bulls,F,06/03/93,2.03,89.8,$27250576,USA,2013,1,2,Georgetown,27
87,JJ Redick,80,#4,New Orleans Pelicans,G,06/24/84,1.91,86.2,$13486300,USA,2006,1,11,Duke,36
88,Josh Richardson,80,#0,Philadelphia 76ers,G,09/15/93,1.96,90.7,$10116576,USA,2015,2,40,Tennessee,27
89,TJ Warren,80,#1,Indiana Pacers,F,09/05/93,2.03,99.8,$11060000,USA,2014,1,14,NC State,27
90,Ja Morant,79,#12,Memphis Grizzlies,G,08/10/99,1.91,78.9,$8730240,USA,2019,1,2,Murray State,21
91,Bam Adebayo,79,#13,Miami Heat,F-C,07/18/97,2.06,110.2,$3454080,USA,2017,1,14,Kentucky,23
92,Jarrett Allen,79,#31,Brooklyn Nets,C,04/20/98,2.11,106.1,$2376840,USA,2017,1,22,Texas,22
93,Lonzo Ball,79,#2,New Orleans Pelicans,G,10/27/97,1.98,86.2,$8719320,USA,2017,1,2,UCLA,23
94,Harrison Barnes,79,#40,Sacramento Kings,F,05/30/92,2.03,95.3,$24147727,USA,2012,1,7,North Carolina,28
95,Patrick Beverley,79,#21,Los Angeles Clippers,G,07/12/88,1.85,81.6,$12345680,USA,2009,2,42,Arkansas,32
96,Jaylen Brown,79,#7,Boston Celtics,F,10/24/96,1.98,101.2,$6534829,USA,2016,1,3,California,24
97,Willie Cauley-Stein,79,#0,Dallas Mavericks,C,08/18/93,2.13,109.8,$2177483,USA,2015,1,6,Kentucky,27
98,Goran Dragic,79,#7,Miami Heat,G,05/06/86,1.91,86.2,$19217900,Slovenia,2008,2,45,,34
99,Shai Gilgeous-Alexander,79,#2,Oklahoma City Thunder,G,07/12/98,1.96,81.6,$3952920,Canada,2018,1,11,Kentucky,22
100,Gary Harris,79,#14,Denver Nuggets,G,09/14/94,1.93,93.0,$17839286,USA,2014,1,19,Michigan State,26
101,Joe Ingles,79,#2,Utah Jazz,F,10/02/87,2.01,94.8,$11454546,Australia,2009,Undrafted,Undrafted,,33
102,Jeremy Lamb,79,#26,Indiana Pacers,G,05/30/92,1.96,81.6,$10500000,USA,2012,1,12,UConn,28
103,Brook Lopez,79,#11,Milwaukee Bucks,C,04/01/88,2.13,120.2,$12093024,USA,2008,1,10,Stanford,32
104,JaVale McGee,79,#7,Los Angeles Lakers,C,01/19/88,2.13,122.5,$4000000,USA,2008,1,18,Nevada,32
105,Mitchell Robinson,79,#23,New York Knicks,C,04/01/98,2.13,101.2,$1559712,USA,2018,2,36,,22
106,Terrence Ross,79,#8,Orlando Magic,G,02/05/91,1.98,93.4,$12500000,USA,2012,1,8,Washington,29
107,Tristan Thompson,79,#13,Cleveland Cavaliers,F,03/13/91,2.06,102.1,$18539130,Canada,2011,1,4,Texas,29
108,PJ Tucker,79,#17,Houston Rockets,F,05/05/85,1.96,102.1,$8349039,USA,2006,2,35,Texas,35
109,Fred VanVleet,79,#23,Toronto Raptors,G,02/25/94,1.85,89.4,$9346153,USA,2006,Undrafted,Undrafted,Wichita State,26
110,Andrew Wiggins,79,#22,Golden State Warriors,F,02/23/95,2.01,89.4,$27504630,Canada,2014,1,1,Kansas,25
111,Thaddeus Young,79,#21,Chicago Bulls,F,06/21/88,2.03,99.8,$12900000,USA,2007,1,12,Georgia Tech,32
112,RJ Barrett,78,#9,New York Knicks,G,06/14/00,1.98,91.6,$7839960,Canada,2019,1,3,Duke,20
113,Ricky Rubio,78,#11,Phoenix Suns,G,10/21/90,1.91,81.6,$16200000,Spain,2009,1,5,,30
114,Will Barton,78,#5,Denver Nuggets,G,01/06/91,1.96,79.4,$12776786,USA,2012,2,40,Memphis,29
115,Bogdan Bogdanovic,78,#8,Sacramento Kings,G,08/18/92,1.98,93.0,$8529386,Serbia,2014,1,27,,28
116,Thomas Bryant,78,#13,Washington Wizards,F-C,07/31/97,2.08,109.3,$8000000,USA,2017,2,42,Indiana,23
117,Wendell Carter,78,#34,Chicago Bulls,C,04/16/99,2.06,117.5,$5201400,USA,2018,1,7,Duke,21
118,Jordan Clarkson,78,#8,Utah Jazz,G,06/07/92,1.93,84.4,$13437500,Philippines,2014,2,46,Missouri,28
119,Evan Fournier,78,#10,Orlando Magic,G,10/29/92,2.01,86.2,$17150000,France,2012,1,20,,28
120,Eric Gordon,78,#10,Houston Rockets,G,12/25/88,1.91,97.5,$14057730,USA,2008,1,7,Indiana,32
121,JaMychal Green,78,#4,Los Angeles Clippers,F,06/21/90,2.03,99.8,$4767000,USA,2012,Undrafted,Undrafted,Alabama,30
122,Joe Harris,78,#12,Brooklyn Nets,G,09/06/91,1.98,97.5,$7666667,USA,2014,2,33,Virginia,29
123,Andre Iguodala,78,#9,Miami Heat,G-F,01/28/84,1.98,93.9,$17185185,USA,2004,1,9,Arizona,36
124,Caris LeVert,78,#22,Brooklyn Nets,G,08/25/94,1.98,86.6,$2625717,USA,2016,1,20,Michigan,26
125,Marcus Morris,78,#0,Los Angeles Clippers,F,09/02/89,2.03,106.6,$15000000,USA,2011,1,14,Kansas,31
126,Dejounte Murray,78,#5,San Antonio Spurs,G,09/19/96,1.93,77.1,$2321735,USA,2016,1,29,Washington,24
127,Larry Nance Jr,78,#22,Cleveland Cavaliers,F,01/01/93,2.01,103.0,$12727273,USA,2015,1,27,Wyoming,27
128,Kelly Olynyk,78,#9,Miami Heat,C,04/19/91,2.11,106.1,$12667885,Canada,2013,1,13,Gonzaga,29
129,Kelly Oubre,78,#3,Phoenix Suns,F-G,12/09/95,2.01,92.1,$15625000,USA,2015,1,15,Kansas,25
